date,open,high,low,close,volume,pct_change
1999-03-23,0.4272,0.4272,0.3907,0.3985,16396799.5,-0.06
1999-03-24,0.3959,0.3985,0.3802,0.3959,6086399.81,-0.01
1999-03-25,0.3946,0.4167,0.3933,0.4011,4031999.88,0.01
1999-03-26,0.4063,0.4375,0.4063,0.4362,8827199.73,0.09
1999-03-29,0.4492,0.4597,0.4414,0.4492,6595199.8,0.03
1999-03-30,0.4506,0.4545,0.4089,0.4115,6950399.79,-0.08
1999-03-31,0.4245,0.4453,0.405,0.4401,15359999.53,0.07
1999-04-01,0.4401,0.4427,0.4193,0.4271,3043199.91,-0.03
1999-04-05,0.422,0.4324,0.4115,0.4141,9863999.7,-0.03
1999-04-06,0.418,0.4193,0.3959,0.4037,6969599.79,-0.03
1999-04-07,0.4063,0.4401,0.4037,0.4375,8927999.73,0.08
1999-04-08,0.4401,0.4584,0.4349,0.4453,13012799.6,0.02
1999-04-09,0.4479,0.4479,0.4349,0.4375,4862399.85,-0.02
1999-04-12,0.4324,0.4324,0.4115,0.4193,3331199.9,-0.04
1999-04-13,0.4272,0.4272,0.3959,0.4024,3614399.89,-0.04
1999-04-14,0.4011,0.4102,0.3907,0.3907,4828799.85,-0.03
1999-04-15,0.4011,0.4011,0.3907,0.4011,3585599.89,0.03
1999-04-16,0.3985,0.4206,0.3985,0.4141,3892799.88,0.03
1999-04-19,0.4193,0.4193,0.3907,0.3959,3129599.9,-0.04
1999-04-20,0.3959,0.4115,0.3841,0.388,6767999.79,-0.02
1999-04-21,0.388,0.3959,0.3854,0.3946,3748799.89,0.02
1999-04-22,0.3959,0.3959,0.3737,0.3776,22718399.31,-0.04
1999-04-23,0.3763,0.3776,0.3568,0.3594,12604799.62,-0.05
1999-04-26,0.3595,0.3647,0.3334,0.3412,12350399.62,-0.05
1999-04-27,0.349,0.3802,0.3438,0.3776,22694399.31,0.11
1999-04-28,0.3802,0.3802,0.3633,0.375,12009599.63,-0.01
1999-04-29,0.3763,0.3776,0.3672,0.375,4814399.85,0.0
1999-04-30,0.3789,0.3959,0.3763,0.3802,9931199.7,0.01
1999-05-03,0.3841,0.3841,0.3724,0.3828,3383999.9,0.01
1999-05-04,0.3828,0.3828,0.3542,0.362,9604799.71,-0.05
1999-05-05,0.3646,0.3698,0.3438,0.3698,14457599.56,0.02
1999-05-06,0.3673,0.3751,0.3516,0.3627,3561599.89,-0.02
1999-05-07,0.3516,0.3672,0.3516,0.3646,2500799.92,0.01
1999-05-10,0.362,0.3724,0.362,0.3646,1967999.94,0.0
1999-05-11,0.3802,0.3959,0.3724,0.3841,17174399.48,0.05
1999-05-12,0.388,0.3972,0.3828,0.3959,16847999.49,0.03
1999-05-13,0.3959,0.4063,0.3946,0.3959,6993599.79,0.0
1999-05-14,0.3959,0.3959,0.3698,0.375,2846399.91,-0.05
1999-05-17,0.3698,0.3933,0.3685,0.3933,3575999.89,0.05
1999-05-18,0.3972,0.4167,0.3854,0.4115,15153599.54,0.05
1999-05-19,0.4298,0.4454,0.3867,0.3933,45172798.62,-0.04
1999-05-20,0.3959,0.3959,0.3477,0.362,17817599.46,-0.08
1999-05-21,0.3568,0.3568,0.3438,0.3542,30350399.07,-0.02
1999-05-24,0.3568,0.3647,0.3477,0.3529,16262399.5,-0.0
1999-05-25,0.3542,0.3595,0.3516,0.3555,13007999.6,0.01
1999-05-26,0.3542,0.3725,0.3542,0.3542,10473599.68,-0.0
1999-05-27,0.3568,0.3568,0.3516,0.3516,8231999.75,-0.01
1999-05-28,0.3568,0.3568,0.3516,0.3555,8865599.73,0.01
1999-06-01,0.3542,0.3568,0.349,0.3568,9854399.7,0.0
1999-06-02,0.3568,0.3568,0.3438,0.3438,13012799.6,-0.04
1999-06-03,0.3529,0.3555,0.349,0.3529,4156799.87,0.03
1999-06-04,0.3555,0.3568,0.3529,0.3555,7891199.76,0.01
1999-06-07,0.3574,0.3646,0.3568,0.3594,12513599.62,0.01
1999-06-08,0.3607,0.375,0.3594,0.3685,15331199.53,0.03
1999-06-09,0.3698,0.3828,0.3698,0.375,9518399.71,0.02
1999-06-10,0.375,0.3776,0.3724,0.3763,3609599.89,0.0
1999-06-11,0.3763,0.3776,0.3555,0.3685,6100799.81,-0.02
1999-06-14,0.3692,0.3699,0.3516,0.3542,5164799.84,-0.04
1999-06-15,0.3542,0.3568,0.349,0.3542,4929599.85,0.0
1999-06-16,0.3594,0.375,0.3542,0.3646,6441599.8,0.03
1999-06-17,0.3621,0.3673,0.3542,0.3542,7492799.77,-0.03
1999-06-18,0.3568,0.3568,0.3412,0.3412,15873599.52,-0.04
1999-06-21,0.3516,0.3594,0.3421,0.3594,8347199.75,0.05
1999-06-22,0.3595,0.3595,0.3451,0.3529,19305599.41,-0.02
1999-06-23,0.349,0.3594,0.3451,0.3594,21091199.36,0.02
1999-06-24,0.3621,0.3621,0.349,0.3516,11519999.65,-0.02
1999-06-25,0.349,0.3608,0.349,0.3568,7353599.78,0.01
1999-06-28,0.3685,0.3685,0.3542,0.362,10915199.67,0.01
1999-06-29,0.3672,0.3711,0.362,0.3659,9268799.72,0.01
1999-06-30,0.3776,0.3985,0.3698,0.3985,26923199.18,0.09
1999-07-01,0.3985,0.3985,0.3568,0.3776,8899199.73,-0.05
1999-07-02,0.3828,0.405,0.375,0.405,22487999.31,0.07
1999-07-06,0.4089,0.4089,0.4011,0.4063,19809599.4,0.0
1999-07-07,0.4089,0.4089,0.3985,0.3985,6311999.81,-0.02
1999-07-08,0.4011,0.4141,0.388,0.4076,18604799.43,0.02
1999-07-09,0.4063,0.4454,0.4063,0.4421,21172799.35,0.08
1999-07-12,0.4688,0.4818,0.4505,0.4623,40103998.78,0.05
1999-07-13,0.4675,0.4701,0.4427,0.4636,13886399.58,0.0
1999-07-14,0.4636,0.474,0.4427,0.4453,13795199.58,-0.04
1999-07-15,0.4492,0.4636,0.4479,0.4479,13703999.58,0.01
1999-07-16,0.4558,0.461,0.4479,0.4571,10387199.68,0.02
1999-07-19,0.4584,0.4597,0.4427,0.4453,4363199.87,-0.03
1999-07-20,0.4453,0.4453,0.4219,0.4375,17875199.45,-0.02
1999-07-21,0.4323,0.4323,0.4115,0.4245,11207999.66,-0.03
1999-07-22,0.422,0.422,0.4011,0.405,21326399.35,-0.05
1999-07-23,0.4037,0.4167,0.4037,0.405,8025599.76,0.0
1999-07-26,0.4154,0.4154,0.4063,0.4063,6153599.81,0.0
1999-07-27,0.4063,0.4089,0.4011,0.4076,9859199.7,0.0
1999-07-28,0.4063,0.4193,0.405,0.4141,24422399.26,0.02
1999-07-29,0.4063,0.4193,0.4037,0.418,38879998.81,0.01
1999-07-30,0.418,0.4298,0.4167,0.4193,45230398.62,0.0
1999-08-02,0.4193,0.4245,0.4167,0.4232,31334399.04,0.01
1999-08-03,0.4233,0.4233,0.4089,0.4128,25521599.22,-0.02
1999-08-04,0.4154,0.4167,0.4115,0.4128,8995199.73,0.0
1999-08-05,0.4128,0.4193,0.4063,0.4193,24057599.27,0.02
1999-08-06,0.418,0.4206,0.4167,0.4193,18398399.44,0.0
